"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","stimulus"
"11656","13","text","0","11661","0.0-0.0","",""
"2267","77","categorize","1","16948","0.0-1.0-0.0","false","img/slot.png"
"1660","90","categorize","2","21618","0.0-1.0-1.0","true","img/slot.png"
"724","90","categorize","3","25346","0.0-1.0-2.0","false","img/slot.png"
"516","77","categorize","4","28866","0.0-1.0-3.0","false","img/slot.png"
"418","90","categorize","5","32288","0.0-1.0-4.0","true","img/slot.png"
"388","90","categorize","6","35681","0.0-1.0-5.0","true","img/slot.png"
"403","90","categorize","7","39089","0.0-1.0-6.0","true","img/slot.png"
"344","90","categorize","8","42437","0.0-1.0-7.0","true","img/slot.png"
"313","90","categorize","9","45757","0.0-1.0-8.0","false","img/slot.png"
"247","77","categorize","10","49007","0.0-1.0-9.0","true","img/slot.png"
"409","77","categorize","11","52422","0.0-1.0-10.0","false","img/slot.png"
"432","90","categorize","12","55858","0.0-1.0-11.0","false","img/slot.png"
"355","77","categorize","13","59217","0.0-1.0-12.0","false","img/slot.png"
"115","77","categorize","14","62337","0.0-1.0-13.0","true","img/slot.png"
"620","77","categorize","15","65966","0.0-1.0-14.0","false","img/slot.png"
"406","90","categorize","16","69376","0.0-1.0-15.0","true","img/slot.png"
"543","90","categorize","17","72923","0.0-1.0-16.0","false","img/slot.png"
"449","77","categorize","18","76373","0.0-1.0-17.0","false","img/slot.png"
"352","90","categorize","19","79727","0.0-1.0-18.0","true","img/slot.png"
"670","77","categorize","20","83398","0.0-1.0-19.0","false","img/slot.png"
"749","90","categorize","21","87149","0.0-1.0-20.0","true","img/slot.png"
"556","90","categorize","22","90713","0.0-1.0-21.0","false","img/slot.png"
"425","77","categorize","23","94143","0.0-1.0-22.0","false","img/slot.png"
"316","90","categorize","24","97462","0.0-1.0-23.0","true","img/slot.png"
"900","90","categorize","25","101367","0.0-1.0-24.0","true","img/slot.png"
"519","90","categorize","26","104890","0.0-1.0-25.0","true","img/slot.png"
"340","90","categorize","27","108235","0.0-1.0-26.0","false","img/slot.png"
"166","77","categorize","28","111404","0.0-1.0-27.0","true","img/slot.png"
"420","77","categorize","29","114828","0.0-1.0-28.0","false","img/slot.png"
