"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","stimulus"
"8693","32","text","0","8697","0.0-0.0","",""
"1194","90","categorize","1","12904","0.0-1.0-0.0","true","img/slot.png"
"316","90","categorize","2","16231","0.0-1.0-1.0","true","img/slot.png"
"313","90","categorize","3","19552","0.0-1.0-2.0","false","img/slot.png"
"352","77","categorize","4","22911","0.0-1.0-3.0","false","img/slot.png"
"450","90","categorize","5","26367","0.0-1.0-4.0","true","img/slot.png"
"298","90","categorize","6","29672","0.0-1.0-5.0","true","img/slot.png"
"305","90","categorize","7","32985","0.0-1.0-6.0","true","img/slot.png"
"197","90","categorize","8","36193","0.0-1.0-7.0","true","img/slot.png"
"296","90","categorize","9","39495","0.0-1.0-8.0","false","img/slot.png"
"346","77","categorize","10","42847","0.0-1.0-9.0","true","img/slot.png"
"377","77","categorize","11","46231","0.0-1.0-10.0","false","img/slot.png"
"305","90","categorize","12","49543","0.0-1.0-11.0","false","img/slot.png"
"329","90","categorize","13","52878","0.0-1.0-12.0","true","img/slot.png"
"383","90","categorize","14","56271","0.0-1.0-13.0","false","img/slot.png"
"366","90","categorize","15","59644","0.0-1.0-14.0","true","img/slot.png"
"340","90","categorize","16","62987","0.0-1.0-15.0","true","img/slot.png"
"381","90","categorize","17","66373","0.0-1.0-16.0","false","img/slot.png"
"250","90","categorize","18","69629","0.0-1.0-17.0","true","img/slot.png"
"233","90","categorize","19","72870","0.0-1.0-18.0","true","img/slot.png"
"342","90","categorize","20","76222","0.0-1.0-19.0","true","img/slot.png"
"336","90","categorize","21","79566","0.0-1.0-20.0","true","img/slot.png"
"415","90","categorize","22","82990","0.0-1.0-21.0","false","img/slot.png"
"401","90","categorize","23","86397","0.0-1.0-22.0","true","img/slot.png"
"342","90","categorize","24","89748","0.0-1.0-23.0","true","img/slot.png"
"364","90","categorize","25","93118","0.0-1.0-24.0","true","img/slot.png"
"352","90","categorize","26","96475","0.0-1.0-25.0","true","img/slot.png"
"362","90","categorize","27","99845","0.0-1.0-26.0","false","img/slot.png"
"359","77","categorize","28","103215","0.0-1.0-27.0","true","img/slot.png"
"176","90","categorize","29","106395","0.0-1.0-28.0","true","img/slot.png"
"443","90","categorize","30","109844","0.0-1.0-29.0","true","img/slot.png"
"320","77","categorize","31","113173","0.0-1.0-30.0","false","img/slot.png"
"384","90","categorize","32","116566","0.0-1.0-31.0","true","img/slot.png"
"368","90","categorize","33","119938","0.0-1.0-32.0","true","img/slot.png"
"401","90","categorize","34","123348","0.0-1.0-33.0","false","img/slot.png"
"362","90","categorize","35","126717","0.0-1.0-34.0","true","img/slot.png"
"464","90","categorize","36","130189","0.0-1.0-35.0","true","img/slot.png"
"463","90","categorize","37","133661","0.0-1.0-36.0","false","img/slot.png"
"10612","90","categorize","38","147283","0.0-1.0-37.0","true","img/slot.png"
"448","90","categorize","39","150741","0.0-1.0-38.0","false","img/slot.png"
"357","90","categorize","40","154108","0.0-1.0-39.0","true","img/slot.png"
"343","90","categorize","41","157457","0.0-2.0-0.0","true","img/slot.png"
"605","90","categorize","42","161065","0.0-2.0-1.0","false","img/slot.png"
"337","90","categorize","43","164409","0.0-2.0-2.0","false","img/slot.png"
"332","77","categorize","44","167749","0.0-2.0-3.0","true","img/slot.png"
"384","77","categorize","45","171140","0.0-2.0-4.0","false","img/slot.png"
"368","90","categorize","46","174515","0.0-2.0-5.0","false","img/slot.png"
"320","77","categorize","47","177841","0.0-2.0-6.0","true","img/slot.png"
"371","77","categorize","48","181220","0.0-2.0-7.0","false","img/slot.png"
"377","77","categorize","49","184604","0.0-2.0-8.0","true","img/slot.png"
"312","77","categorize","50","187920","0.0-2.0-9.0","true","img/slot.png"
"315","77","categorize","51","191242","0.0-2.0-10.0","false","img/slot.png"
"457","77","categorize","52","194704","0.0-2.0-11.0","true","img/slot.png"
"444","77","categorize","53","198155","0.0-2.0-12.0","true","img/slot.png"
"486","77","categorize","54","201653","0.0-2.0-13.0","true","img/slot.png"
"407","77","categorize","55","205063","0.0-2.0-14.0","false","img/slot.png"
"316","77","categorize","56","208386","0.0-2.0-15.0","true","img/slot.png"
"313","77","categorize","57","211707","0.0-2.0-16.0","false","img/slot.png"
"374","77","categorize","58","215087","0.0-2.0-17.0","true","img/slot.png"
"363","77","categorize","59","218455","0.0-2.0-18.0","true","img/slot.png"
"309","77","categorize","60","221768","0.0-2.0-19.0","true","img/slot.png"
"418","77","categorize","61","225191","0.0-2.0-20.0","false","img/slot.png"
"321","77","categorize","62","228519","0.0-2.0-21.0","false","img/slot.png"
"340","77","categorize","63","231865","0.0-2.0-22.0","true","img/slot.png"
"352","77","categorize","64","235222","0.0-2.0-23.0","false","img/slot.png"
"314","77","categorize","65","238548","0.0-2.0-24.0","true","img/slot.png"
"428","77","categorize","66","241986","0.0-2.0-25.0","true","img/slot.png"
"463","77","categorize","67","245456","0.0-2.0-26.0","true","img/slot.png"
"456","77","categorize","68","248921","0.0-2.0-27.0","true","img/slot.png"
"406","77","categorize","69","252336","0.0-2.0-28.0","true","img/slot.png"
"522","77","categorize","70","255866","0.0-2.0-29.0","true","img/slot.png"
"608","77","categorize","71","259480","0.0-2.0-30.0","false","img/slot.png"
"344","77","categorize","72","262832","0.0-2.0-31.0","true","img/slot.png"
"370","77","categorize","73","266210","0.0-2.0-32.0","true","img/slot.png"
"374","77","categorize","74","269592","0.0-2.0-33.0","true","img/slot.png"
"318","77","categorize","75","272920","0.0-2.0-34.0","false","img/slot.png"
"317","77","categorize","76","276247","0.0-2.0-35.0","true","img/slot.png"
"362","77","categorize","77","279617","0.0-2.0-36.0","true","img/slot.png"
"336","77","categorize","78","282961","0.0-2.0-37.0","false","img/slot.png"
"56","77","categorize","79","286023","0.0-2.0-38.0","true","img/slot.png"
"335","77","categorize","80","289368","0.0-2.0-39.0","true","img/slot.png"
"297","77","categorize","81","292671","0.0-3.0-0.0","false","img/slot.png"
"274","77","categorize","82","295952","0.0-3.0-1.0","false","img/slot.png"
"360","77","categorize","83","299318","0.0-3.0-2.0","false","img/slot.png"
"351","90","categorize","84","302680","0.0-3.0-3.0","true","img/slot.png"
"383","90","categorize","85","306071","0.0-3.0-4.0","true","img/slot.png"
"365","77","categorize","86","309444","0.0-3.0-5.0","true","img/slot.png"
"244","77","categorize","87","312692","0.0-3.0-6.0","true","img/slot.png"
"305","77","categorize","88","316007","0.0-3.0-7.0","false","img/slot.png"
"358","90","categorize","89","319374","0.0-3.0-8.0","true","img/slot.png"
"345","90","categorize","90","322725","0.0-3.0-9.0","false","img/slot.png"
"451","90","categorize","91","326179","0.0-3.0-10.0","true","img/slot.png"
"627","90","categorize","92","329813","0.0-3.0-11.0","true","img/slot.png"
"689","90","categorize","93","333511","0.0-3.0-12.0","true","img/slot.png"
"471","90","categorize","94","336992","0.0-3.0-13.0","true","img/slot.png"
"389","90","categorize","95","340390","0.0-3.0-14.0","false","img/slot.png"
"518","90","categorize","96","343917","0.0-3.0-15.0","true","img/slot.png"
