"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","stimulus"
"18541","76","text","0","18544","0.0-0.0","",""
"4066","90","categorize","1","25615","0.0-1.0-0.0","true","img/slot.png"
"3045","77","categorize","2","31663","0.0-1.0-1.0","false","img/slot.png"
"1079","90","categorize","3","35743","0.0-1.0-2.0","false","img/slot.png"
"487","90","categorize","4","39230","0.0-1.0-3.0","true","img/slot.png"
"823","90","categorize","5","43055","0.0-1.0-4.0","true","img/slot.png"
"423","77","categorize","6","46479","0.0-1.0-5.0","false","img/slot.png"
"335","77","categorize","7","49814","0.0-1.0-6.0","false","img/slot.png"
"287","90","categorize","8","53103","0.0-1.0-7.0","true","img/slot.png"
"247","90","categorize","9","56351","0.0-1.0-8.0","false","img/slot.png"
"414","77","categorize","10","59767","0.0-1.0-9.0","true","img/slot.png"
"287","77","categorize","11","63055","0.0-1.0-10.0","false","img/slot.png"
"294","77","categorize","12","66351","0.0-1.0-11.0","true","img/slot.png"
"168","90","categorize","13","69519","0.0-1.0-12.0","true","img/slot.png"
"294","77","categorize","14","72816","0.0-1.0-13.0","true","img/slot.png"
"422","77","categorize","15","76240","0.0-1.0-14.0","false","img/slot.png"
"437","77","categorize","16","79679","0.0-1.0-15.0","false","img/slot.png"
"319","90","categorize","17","82999","0.0-1.0-16.0","false","img/slot.png"
"206","77","categorize","18","86208","0.0-1.0-17.0","false","img/slot.png"
"278","90","categorize","19","89487","0.0-1.0-18.0","true","img/slot.png"
"278","77","categorize","20","92767","0.0-1.0-19.0","false","img/slot.png"
"287","77","categorize","21","96055","0.0-1.0-20.0","false","img/slot.png"
"455","90","categorize","22","99511","0.0-1.0-21.0","false","img/slot.png"
"342","90","categorize","23","102854","0.0-1.0-22.0","true","img/slot.png"
"264","77","categorize","24","106119","0.0-1.0-23.0","false","img/slot.png"
"303","90","categorize","25","109423","0.0-1.0-24.0","true","img/slot.png"
"784","90","categorize","26","113207","0.0-1.0-25.0","true","img/slot.png"
"647","90","categorize","27","116856","0.0-1.0-26.0","false","img/slot.png"
"326","77","categorize","28","120184","0.0-1.0-27.0","true","img/slot.png"
"517","77","categorize","29","123701","0.0-1.0-28.0","false","img/slot.png"
"383","77","categorize","30","127086","0.0-1.0-29.0","false","img/slot.png"
"4016","90","categorize","31","134102","0.0-1.0-30.0","true","img/slot.png"
"574","90","categorize","32","137678","0.0-1.0-31.0","true","img/slot.png"
"294","77","categorize","33","140974","0.0-1.0-32.0","false","img/slot.png"
"446","90","categorize","34","144422","0.0-1.0-33.0","false","img/slot.png"
"982","77","categorize","35","148406","0.0-1.0-34.0","false","img/slot.png"
"814","90","categorize","36","152222","0.0-1.0-35.0","true","img/slot.png"
"455","77","categorize","37","155678","0.0-1.0-36.0","true","img/slot.png"
"582","90","categorize","38","159262","0.0-1.0-37.0","true","img/slot.png"
"254","77","categorize","39","162518","0.0-1.0-38.0","true","img/slot.png"
"79","90","categorize","40","165598","0.0-1.0-39.0","true","img/slot.png"
"463","90","categorize","41","169061","0.0-2.0-0.0","true","img/slot.png"
"511","90","categorize","42","172574","0.0-2.0-1.0","false","img/slot.png"
"183","77","categorize","43","175757","0.0-2.0-2.0","true","img/slot.png"
"606","90","categorize","44","179366","0.0-2.0-3.0","false","img/slot.png"
"446","90","categorize","45","182813","0.0-2.0-4.0","true","img/slot.png"
"559","90","categorize","46","186373","0.0-2.0-5.0","false","img/slot.png"
"454","90","categorize","47","189829","0.0-2.0-6.0","false","img/slot.png"
"95","77","categorize","48","192925","0.0-2.0-7.0","false","img/slot.png"
"335","90","categorize","49","196261","0.0-2.0-8.0","false","img/slot.png"
"223","90","categorize","50","199485","0.0-2.0-9.0","false","img/slot.png"
"318","77","categorize","51","202805","0.0-2.0-10.0","false","img/slot.png"
"271","90","categorize","52","206078","0.0-2.0-11.0","false","img/slot.png"
"270","77","categorize","53","209349","0.0-2.0-12.0","true","img/slot.png"
"319","77","categorize","54","212669","0.0-2.0-13.0","true","img/slot.png"
"447","90","categorize","55","216117","0.0-2.0-14.0","true","img/slot.png"
"343","77","categorize","56","219461","0.0-2.0-15.0","true","img/slot.png"
"439","90","categorize","57","222901","0.0-2.0-16.0","true","img/slot.png"
"398","77","categorize","58","226300","0.0-2.0-17.0","true","img/slot.png"
"295","77","categorize","59","229597","0.0-2.0-18.0","true","img/slot.png"
"702","90","categorize","60","233301","0.0-2.0-19.0","false","img/slot.png"
"261","77","categorize","61","236565","0.0-2.0-20.0","false","img/slot.png"
"119","90","categorize","62","239684","0.0-2.0-21.0","true","img/slot.png"
"407","90","categorize","63","243093","0.0-2.0-22.0","false","img/slot.png"
"415","90","categorize","64","246509","0.0-2.0-23.0","true","img/slot.png"
"535","77","categorize","65","250046","0.0-2.0-24.0","true","img/slot.png"
"278","90","categorize","66","253326","0.0-2.0-25.0","false","img/slot.png"
"286","77","categorize","67","256612","0.0-2.0-26.0","true","img/slot.png"
"22","90","categorize","68","259637","0.0-2.0-27.0","false","img/slot.png"
"623","77","categorize","69","263261","0.0-2.0-28.0","true","img/slot.png"
"470","90","categorize","70","266733","0.0-2.0-29.0","false","img/slot.png"
"519","77","categorize","71","270253","0.0-2.0-30.0","false","img/slot.png"
"382","90","categorize","72","273636","0.0-2.0-31.0","false","img/slot.png"
"271","77","categorize","73","276908","0.0-2.0-32.0","true","img/slot.png"
"215","77","categorize","74","280124","0.0-2.0-33.0","true","img/slot.png"
"246","90","categorize","75","283373","0.0-2.0-34.0","true","img/slot.png"
"302","90","categorize","76","286676","0.0-2.0-35.0","false","img/slot.png"
"310","90","categorize","77","289989","0.0-2.0-36.0","false","img/slot.png"
"94","77","categorize","78","293084","0.0-2.0-37.0","false","img/slot.png"
"103","90","categorize","79","296189","0.0-2.0-38.0","false","img/slot.png"
"190","77","categorize","80","299380","0.0-2.0-39.0","true","img/slot.png"
"215","77","categorize","81","302597","0.0-3.0-0.0","false","img/slot.png"
"303","90","categorize","82","305902","0.0-3.0-1.0","true","img/slot.png"
"399","90","categorize","83","309301","0.0-3.0-2.0","true","img/slot.png"
"599","77","categorize","84","312901","0.0-3.0-3.0","false","img/slot.png"
"334","90","categorize","85","316237","0.0-3.0-4.0","true","img/slot.png"
"350","90","categorize","86","319589","0.0-3.0-5.0","false","img/slot.png"
"343","77","categorize","87","322933","0.0-3.0-6.0","true","img/slot.png"
"414","90","categorize","88","326349","0.0-3.0-7.0","true","img/slot.png"
"638","90","categorize","89","329989","0.0-3.0-8.0","true","img/slot.png"
"271","90","categorize","90","333261","0.0-3.0-9.0","false","img/slot.png"
"342","90","categorize","91","336606","0.0-3.0-10.0","true","img/slot.png"
"461","77","categorize","92","340069","0.0-3.0-11.0","false","img/slot.png"
"319","90","categorize","93","343389","0.0-3.0-12.0","true","img/slot.png"
"255","77","categorize","94","346645","0.0-3.0-13.0","false","img/slot.png"
"575","90","categorize","95","350221","0.0-3.0-14.0","false","img/slot.png"
"343","77","categorize","96","353565","0.0-3.0-15.0","false","img/slot.png"
"502","90","categorize","97","357068","0.0-3.0-16.0","false","img/slot.png"
"1415","90","categorize","98","361484","0.0-3.0-17.0","true","img/slot.png"
"383","77","categorize","99","364868","0.0-3.0-18.0","false","img/slot.png"
"855","90","categorize","100","368723","0.0-3.0-19.0","false","img/slot.png"
"271","77","categorize","101","371995","0.0-3.0-20.0","false","img/slot.png"
"167","90","categorize","102","375164","0.0-3.0-21.0","true","img/slot.png"
"343","90","categorize","103","378507","0.0-3.0-22.0","true","img/slot.png"
"286","77","categorize","104","381795","0.0-3.0-23.0","true","img/slot.png"
"319","77","categorize","105","385116","0.0-3.0-24.0","false","img/slot.png"
"223","90","categorize","106","388339","0.0-3.0-25.0","true","img/slot.png"
"151","90","categorize","107","391491","0.0-3.0-26.0","false","img/slot.png"
"262","77","categorize","108","394756","0.0-3.0-27.0","true","img/slot.png"
"71","77","categorize","109","397827","0.0-3.0-28.0","false","img/slot.png"
"389","90","categorize","110","401219","0.0-3.0-29.0","true","img/slot.png"
"286","90","categorize","111","404507","0.0-3.0-30.0","true","img/slot.png"
"287","77","categorize","112","407795","0.0-3.0-31.0","false","img/slot.png"
"302","90","categorize","113","411099","0.0-3.0-32.0","true","img/slot.png"
"367","77","categorize","114","414467","0.0-3.0-33.0","true","img/slot.png"
"287","90","categorize","115","417755","0.0-3.0-34.0","true","img/slot.png"
"151","77","categorize","116","420907","0.0-3.0-35.0","false","img/slot.png"
"223","90","categorize","117","424131","0.0-3.0-36.0","false","img/slot.png"
"239","77","categorize","118","427371","0.0-3.0-37.0","false","img/slot.png"
"270","90","categorize","119","430643","0.0-3.0-38.0","false","img/slot.png"
"222","77","categorize","120","433867","0.0-3.0-39.0","false","img/slot.png"
"311","90","text","121","435178","0.0-4.0","",""
